,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec012_nation_cd,과정,수료년도,수료학기,rec012_birth_dt,gpa,rec012_school_term,인건비총액,서류점수,면접점수,학부출신,대학원출신,월별인건비
3835,3835,8599,AAEwNO7nWkzFTNqr3ksUN9aP,공과대학,공학,2,정원내신입학,휴학,전기전자공학과,신호 및 멀티미디어전공,AAFptwmanjlLzXaPDP6w+HhG,korean,석사과정,,,19950117,4.17,1,5800000,47.64,46.64,자교,,966666.6667
3836,3836,8600,AAFv7a/Txkwkx0LzEZwfFG+f,공과대학,공학,1,정원내신입학,재학,전기전자공학과,통신 및 네트워크전공,AAGxp12W7P/OZsrknV1XW5AW,korean,석사과정,,,19940702,4.38,2,19490610,41.68,42.27,자교,,1624217.5
3847,3847,8620,AAHm4OI715aTKy2e2+OClPmn,공과대학,공학,2,학연산협동과정,재학,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석사과정,,,19970227,4.5,2,,39.3,37.66,타교,,0
3848,3848,8622,AAFBYnyZEd+GcJ+q2+f7/RV1,공과대학,공학,1,학연산협동과정,재학,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석사과정,,,19981123,4,2,,39.12,40.04,타교,,0
3849,3849,8623,AAEBD7oORe9ZvqqUBfvZHOyy,공과대학,공학,1,학연산협동과정,재학,전기전자공학과,통신 및 네트워크전공,AAEj6q7XuYExVuJ1gMTOQro0,korean,석사과정,,,19940729,4,2,,39.05,40.02,타교,,0
3850,3850,8624,AAE+F3obOk+Fyu0C9NEw3P23,공과대학,공학,1,학연산협동과정,재학,전기전자공학과,제어·로봇·시스템,AAGgK5aLYXtqUCEsJUyA69tb,korean,석사과정,,,19970530,4.33,2,,43.71,43.06,타교,,0
3851,3851,8625,AAFKfLVuHHV7a8rO6PPKkn5L,공과대학,공학,1,학연산협동과정,재학,전기전자공학과,통신 및 네트워크전공,AAHHokiidcQRGCVM5UUNCY0J,korean,석사과정,,,19930114,4.5,2,11340000,45.45,45.61,타교,,945000
3852,3852,8626,AAF5WgNbvr+7gYnlUOb1GphU,공과대학,공학,2,학연산협동과정,제적,전기전자공학과,집적회로전공,AAG4MQBz04451TMpmT1c5RIs,korean,석사과정,,,19951103,,1,,41.88,41.22,타교,,0
3853,3853,8629,AAHsPDU1W6iyPDKtq4KRfIdZ,공과대학,공학,1,정원내신입학,휴학,전기전자공학과,통신 및 네트워크전공,AAHozmCFACnmLBmefjO3tHkl,korean,석사과정,,,19930820,3.31,3,21208000,40.8,42.8,타교,,1178222.222
3854,3854,8630,AAEbcEfQb4AwU2DqeS8DYqBA,공과대학,공학,1,학연산협동과정,재학,전기전자공학과,제어·로봇·시스템,AAGgK5aLYXtqUCEsJUyA69tb,korean,석사과정,,,19960721,4.33,2,,39.21,40.75,타교,,0
3855,3855,8633,AAEDcW8z4BdHSGwSidoxJXl+,공과대학,공학,1,정원내신입학,재학,전기전자공학과,컴퓨터공학전공,AAHbNTGEEr8V0DqbdeHsw6mR,korean,석사과정,,,19930415,4.33,4,14112500,44.9,47.9,타교,,588020.8333
3856,3856,8634,AAE0HDWBgmPa75XjtAn5QImN,공과대학,공학,2,군위탁생,재학,전기전자공학과,통신 및 네트워크전공,AAG3Do5GFC741fyNHG0xL5GU,korean,석사과정,,,19920108,4.25,2,,49.84,49.89,타교,,0
3857,3857,8635,AAEcKkM6mkppJbYOorzkl+wR,공과대학,공학,1,학연산협동과정,재학,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석사과정,,,19960315,4.25,2,,39.69,40.21,타교,,0
3873,3873,8672,AAHF9UmHt6AnIvehwns3dcyl,공과대학,공학,1,정원내신입학,수료,전기전자공학과,통신 및 네트워크전공,AAEssPEiUNe/wYugrxd+fnX2,korean,석사과정,2021,1R,19931230,3.61,4,37021860,41.9,43.6,자교,,1542577.5
3888,3888,8695,AAHQ1uU1ygq+EkP6jzgFtaq1,공과대학,공학,1,정원내신입학,제적,전기전자공학과,제어·로봇·시스템,AAGioczb0MZcdiThVufZfhjq,korean,석사과정,,,19950818,3.94,4,16000000,42.5,45.6,타교,,666666.6667
3904,3904,8748,AAG3TKUZZi48Unqw5N+uxrFq,공과대학,공학,2,정원내신입학,재학,도시재생협동과정,,AAE5WQ5vUkXbqPGl695dRUBR,korean,석사과정,,,19951009,4.19,4,,31.27,58,타교,,0
3924,3924,8814,AAHjenZF+n7P+RpWghDdM11+,공과대학,공학,1,정원내신입학,재학,전기전자공학과,집적회로전공,AAEjl2tI/iO/9WH66UlDLNsD,korean,석사과정,,,19950312,4.38,2,14700000,49.64,46.06,자교,,1225000
3981,3981,8896,AAGTvhar/aR6G6dHDu/OzuxR,공과대학,공학,1,정원내신입학,제적,건축사회환경공학과,사회인프라전공,AAHpTShsDJo8lel4DbFdlag7,korean,석사과정,,,19911230,3,1,,47,48,자교,,0
3983,3983,8898,AAHBuH0WGq+1mFpfnKPftCI0,공과대학,공학,1,외국인,영구수료,건축사회환경공학과,건설시스템 경영 및 관리,AAGt4tT4YHtLHUas1+cZcz2X,foreigner,석사과정,2017,2R,19920307,4.16,4,29880000,98,,타교,,1245000
